,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
39,Nash Bridges,2021,"Pier 9, at Autodesk",,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
40,Shattered,1991,,,Wolfgang Petersen,Wolfgang Petersen,Tom Berenger,Bob Hoskins,
41,Etruscan Smile,2017,"Legion of Honor, 100 34th Ave","California Palace of the Legion of Honor was completed in 1924, and on Armistice Day of that year the doors opened to the public. In keeping with the wishes of the donors, to “honor the dead while serving the living,” it was accepted by the city of San Francisco as a museum of fine arts dedicated to the memory of the 3,600 California men who had lost their lives on the battlefields of France during World War I.",Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
42,Looking Season 2 ep 202,2015,Eddy @ Polk Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
43,Always Be My Maybe,2019,de Young Museum/Golden Gate Park,,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves
44,Sense8,2015,Vallejo Street Garage; 766 Vallejo St.,dialogue scene on top of a garage roof,The Wachowskis,The Wachowskis,Jamie Clayton,,
45,The Pursuit of Happyness,2006,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,
46,Blue Jasmine,2013,2934 24th St.,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
47,Time After Time,1979,Merchant Exchange (465 California Street at Leidesdorff),,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
48,The Net,1995,Montgomery & Market Streets,,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,
49,"Murder in the First, Season 1",2014,1201 Columbus Avenue,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
50,The Towering Inferno,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden
51,Shit and Champagne,2020,Haight at Ashbury St,,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay
52,Blue Jasmine,2013,Lombard & Hyde,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
53,DEVS,2020,Chinatown - Grant btwn California and Jackson St,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
54,Terminator - Genisys,2015,1 Market St. Landmark Building,,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,
